Company,Ticker,Exchange,Stock Delisted,cik
Bukalapak,BUKA.JK,JKT,False,
BigBear.ai,BBAI,NYSE,False,1836981.0
Goodfood,FOOD.TO,TOR,False,
Opendoor,OPEN,NASDAQ,False,1801169.0
Lyft,LYFT,NASDAQ,False,1759509.0
Beyond Meat,BYND,NASDAQ,False,1655210.0
CarGurus,CARG,NASDAQ,False,1494259.0
Kyndryl,KD,NYSE,False,1867072.0
Luminar,LAZR,NASDAQ,False,1758057.0
Banxa,BNXA.V,CDNX,False,
Sea Limited,SE,NYSE,False,1703399.0
Rapid7,RPD,NASDAQ,False,1560327.0
Enphase Energy,ENPH,NASDAQ,False,1463101.0
Owlet,OWLT,NYSE,False,1816708.0
Personalis,PSNL,NASDAQ,False,1527753.0
Wish,WISH,NASDAQ,False,1822250.0
VerticalScope,7E9.F,FRA,False,
Allbirds,BIRD,NASDAQ,False,1653909.0
Cardlytics,CDLX,NASDAQ,False,1666071.0
Cazoo,CZOO,NYSE,False,1859639.0
Springbig,SBIG,NASDAQ,True,1801602.0
Oatly,OTLY,NASDAQ,False,1843586.0
Blend,BLND,NYSE,False,1855747.0
Lucid Diagnostics,LUCD,NASDAQ,False,1799011.0
Vimeo,VMEO,NASDAQ,False,1837686.0
Sportradar,SRAD,NASDAQ,False,1836470.0
GoPro,GPRO,NASDAQ,False,1500435.0
Meta,META,NASDAQ,False,1326801.0
TripAdvisor,TRIP,NASDAQ,False,1526520.0
eBay,EBAY,NASDAQ,False,1065088.0
Quanterix,QTRX,NASDAQ,False,1503274.0
Dropbox,DBX,NASDAQ,False,1467623.0
Selina,SLNA,NASDAQ,False,1909417.0
Bill Com Holdings,BILL,NYSE,False,1786352.0
Legible,READ.CN,CSE,False,
EQRx,EQRX,NASDAQ,True,1843762.0
Bilibili,BILI,NASDAQ,False,1723690.0
nCino,NCNO,NASDAQ,False,1902733.0
Acast,ACST,NASDAQ,False,1444192.0
Compass,COMP,NYSE,False,1563190.0
Westwing,WEW.F,FRA,False,
SoFi,SOFI,NASDAQ,False,1818874.0
Cisco,CSCO,NASDAQ,False,858877.0
Redfin,RDFN,NASDAQ,False,1382821.0
WalkMe,WKME,NASDAQ,False,1847584.0
PayPal,PYPL,NASDAQ,False,1633917.0
Nerdy,NRDY,NYSE,False,1819404.0
Titan Medical,TMDIF,OTCMKTS,False,840551.0
Pegasystems,PEGA,NASDAQ,False,1013857.0
GitLab,GTLB,NASDAQ,False,1653482.0
Astra,ASTR,NASDAQ,False,1814329.0
Delivery Hero,DHER.DE,XETRA,False,
ContraFect,CFRXQ,OTCMKTS,False,
Natera,NTRA,NASDAQ,False,1604821.0
Oportun,OPRT,NASDAQ,False,1538716.0
Matterport,MTTR,NASDAQ,False,1819394.0
SoundHound,SOUN,NASDAQ,False,1840856.0
StoneCo,STNE,NASDAQ,False,1745431.0
GoHealth,GOCO,NASDAQ,False,1808220.0
LegalZoom,LZ,NASDAQ,False,1286139.0
Amazon,AMZN,NASDAQ,False,1018724.0
8x8,EGHT,NASDAQ,False,1023731.0
AppLovin,APP,NASDAQ,False,1751008.0
Akamai,AKAM,NASDAQ,False,1086222.0
Codexis,CDXS,NASDAQ,False,1200375.0
Cloudflare,NET,NYSE,False,1477333.0
iRobot,IRBT,NASDAQ,False,1159167.0
Edgio,EGIO,NASDAQ,False,1391127.0
iCAD,ICAD,NASDAQ,False,749660.0
SWVL,SWVL,NASDAQ,False,1875609.0
Snap,SNAP,NYSE,False,1564408.0
iSpecimen,ISPC,NASDAQ,False,1558569.0
Zalando,ZAL.DE,XETRA,False,
TomTom,0MKS.IL,IOB,False,
Dell,DELL,NYSE,False,1571996.0
Quantum SI,QSI,NASDAQ,False,1816431.0
Freightos,CRGO,NASDAQ,False,1927719.0
Zillow,Z,NASDAQ,False,1617640.0
Capital One,COF,NYSE,False,927628.0
Digimarc,DMRC,NASDAQ,False,1438231.0
Yext,YEXT,NYSE,False,1614178.0
Sage Therapeutics,SAGE,NASDAQ,False,1597553.0
Tempo Automation,TMPO,NASDAQ,True,1813658.0
HelloFresh,HFG.DE,XETRA,False,
TuSimple,TSPH,OTCMKTS,False,
Illumina,ILMN,NASDAQ,False,1110803.0
Google,GOOG,NASDAQ,False,1652044.0
Rent the Runway,RENT,NASDAQ,False,1468327.0
DoorDash,DASH,NASDAQ,False,1792789.0
Aurora Innovation,AUR,NASDAQ,False,1828108.0
Zscaler,ZS,NASDAQ,False,1713683.0
Expedia,EXPE,NASDAQ,False,1324424.0
SQZ Biotech,SQZB,OTCMKTS,False,1604477.0
WeWork,WEWKQ,OTCMKTS,True,1813756.0
Akerna,KERN,NASDAQ,True,1755953.0
Workday,WDAY,NASDAQ,False,1327811.0
Teladoc Health,TDOC,NYSE,False,1477449.0
Appgate,APGTQ,OTCMKTS,False,
DocuSign,DOCU,NASDAQ,False,1261333.0
BM Technologies,BMTX,NYSE MKT,False,1725872.0
Brightcove,BCOV,NASDAQ,False,1313275.0
Xerox,XRX,NASDAQ,False,1770450.0
Thinkific,THNC.TO,Toronto,False,
Coursera,COUR,NYSE,False,1651562.0
Electronic Arts,EA,NASDAQ,False,712515.0
Blackbaud,BLKB,NASDAQ,False,1280058.0
Roku,ROKU,NASDAQ,False,1428439.0
Kogan,KGN.AX,ASX,False,
F-Secure,FSECURE.HE,HEL,False,
Coinbase,COIN,NASDAQ,False,1679788.0
Jamf,JAMF,NASDAQ,False,1721947.0
Guidewire,GWRE,NYSE,False,1528396.0
Innoviz,INVZ,NASDAQ,False,1835654.0
Yelp,YELP,NYSE,False,1345016.0
Offerpad,OPAD,NYSE,False,1825024.0
Kaspien,KSPN,OTCMKTS,True,795212.0
Marvell,MRVL,NASDAQ,False,1835632.0
Storytel,DST.F,FRA,False,
Chegg,CHGG,NYSE,False,1364954.0
Nikola,NKLA,NASDAQ,False,1731289.0
Amplitude,AMPL,NASDAQ,False,1866692.0
Rubicon Technologies,RBT,NYSE,False,1862068.0
ZipRecruiter,ZIP,NYSE,False,1617553.0
Bumble,BMBL,NASDAQ,False,1830043.0
Udemy,UDMY,NASDAQ,False,1607939.0
OnDeck,ENVA,NYSE,False,1529864.0
Western Digital,WDC,NASDAQ,False,106040.0
Airbnb,ABNB,NASDAQ,False,1559720.0
Domo,DOMO,NASDAQ,False,1505952.0
EVgo,EVGO,NASDAQ,False,1821159.0
SAP,SAP,NYSE,False,1000184.0
Deliveroo,ROO.L,LSE,False,
Magnite,MGNI,NASDAQ,False,1595974.0
Casper,CSPR,NYSE,True,
Aptiv,APTV,NYSE,False,1521332.0
D2L,DTOL.TO,TSX,False,
Salesforce,CRM,NYSE,False,1108524.0
Vroom,VRM,NASDAQ,False,1580864.0
Nextdoor,KIND,NYSE,False,1846069.0
Unity,U,NYSE,False,1810806.0
Nevro,NVRO,NYSE,False,1444380.0
ThredUp,TDUP,NASDAQ,False,1484778.0
BigCommerce,BIGC,NASDAQ,False,1626450.0
AppFolio,APPF,NASDAQ,False,1433195.0
Analog Devices,ADI,NASDAQ,False,6281.0
888,EVOK.L,LSE,False,1403708.0
Sonos,SONO,NASDAQ,False,1314727.0
Akili,AKLI,NASDAQ,False,1850266.0
Alteryx,AYX,NYSE,True,1689923.0
Avaya,AVYA,NYSE,True,
Boxed,BOXD,NYSE,True,
DeepVerge,DVRG.L,LSE,True,
Homology,FIXX,NASDAQ,False,1661998.0
Instacart,CART,NASDAQ,False,1579091.0
IronNet,IRNT,NYSE,True,
Kape,KAPE.L,LSE,True,
Laybuy,LBY.AX,ASX,True,
LiveTiles,LVT.AX,ASX,True,
LiveVox,LVOX,NASDAQ,True,1723648.0
Cloudera,CLDR,NYSE,True,
Momentive,MNTV,NASDAQ,True,
Nearmap,NEA.AX,ASX,True,1195737.0
Openpay,OPY.AX,ASX,True,791963.0
Otonomo,OTMO,NASDAQ,True,
Qualtrics,XM,NASDAQ,True,
Redbubble,RBL.AX,ASX,True,
Rubius,RUBY,NASDAQ,True,1709401.0
Palladyne AI,PDYN,NASDAQ,False,
GeneDx,WGS,NASDAQ,False,1818331.0
Splunk,SPLK,NASDAQ,True,1353283.0
TCR2,TCRR,NASDAQ,True,
Tricida,TCDA,NASDAQ,True,
Whispir,WSP.AX,ASX,True,
Zymergen,ZY,NASDAQ,True,
Hippo Insurance,HIPO,NYSE,False,1828105.0
Quanergy Systems,QNGY,NYSE,True,
Homepoint,HMPT,NASDAQ,True,
Absolute Software,ABST.TO,TSX,True,
Lending Club,LC,NYSE,False,1409970.0
Kleos Space,KSS.AX,ASX,True,885639.0
Berkeley Lights,BLI,NASDAQ,True,
JD.ID,JD,NASDAQ,False,1549802.0
Lucid Motors,LCID,NASDAQ,False,1811210.0
Frequency Therapeutics,KRRO,NASDAQ,False,1703647.0
Castlight Health,CSLT,NYSE,True,
Root Insurance,ROOT,NASDAQ,False,1788882.0
OpenText,OTX,NASDAQ,False,
New Relic,NEWR,NYSE,True,1448056.0
Rubicon Project,MGNI,NASDAQ,False,1595974.0
Acxiom,RAMP,NASDAQ,False,733269.0
Blue Apron,APRN,NYSE,True,1701114.0
Science 37,SNCE,NASDAQ,True,1819113.0
Babylon Health,BBLNF,OTCMKTS,False,1866390.0
N-able Technologies,NABL,NYSE,False,1834488.0
GoTo Group,GOTO.JK,IDX,False,
National Instruments,NATI,NASDAQ,True,
PagBank,PAGS,NYSE,False,1712807.0
Neoleukin Therapeutics,NGNE,NASDAQ,False,
Lucira Health,LHDX,NASDAQ,True,
Sono Motors,SEVCF,OTCMKTS,False,
Embark Trucks,EMBK,NASDAQ,True,
Nubank,NU,NYSE,False,1691493.0
Bally's Interactive,BALY,NYSE,False,1747079.0
