Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,Job Positions Laid Off Desc,Job Positions Laid Off Specific,Reason Mentioned 1,Reason Mentioned 2,Reason Mentioned 3,Unprofitable,AI Mentioned,AI Relation,Expansion Mentioned,cik,Ticker,Exchange,Stock Delisted,Announced Post-Trading Hours,Stock Return On Closest Trading Date Post-Announcement (t),Stock Return 3 Days Before t,Stock Return 2 Days Before t,Stock Return 1 Day Before t,Stock Return 1 Day After t,Stock Return 2 Days After t,Stock Return 3 Days After t,List of Employees Laid Off
Playtika,FALSE,Tel Aviv,Consumer,300,1/11/2024,https://www.calcalistech.com/ctechnews/article/skb6elt006,,Post-IPO,Israel,0.1,,,Office closures,Falling revenues,,FALSE,FALSE,,TRUE,1828016,PLTK,NASDAQ,FALSE,FALSE,-0.011320736,0.03684884,-0.030637333,0.005056916,-0.020356275,-0.005194769,-0.027415139,
New Work SE,FALSE,Hamburg,Consumer,400,1/11/2024,https://www.new-work.se/de/newsroom/pressemitteilungen/2024-ad-hoc-2024-11-01,,Post-IPO,Germany,,,,Definite business realignment,Macroeconomic conditions,Chase profitability,,FALSE,,FALSE,,NWSE.VI,VIE,FALSE,FALSE,0.001402546,-0.006925207,0,-0.005578778,-0.257703118,0.0830189,0.022648093,
Discord,TRUE,SF Bay Area,Consumer,170,1/11/2024,https://www.theverge.com/2024/1/11/24034705/discord-layoffs-17-percent-employees,995,Series H,United States,0.17,,,,,,,,,,,,,,,,,,,,,,
Inmobi,FALSE,Bengaluru,Marketing,125,1/11/2024,https://economictimes.indiatimes.com/tech/technology/inmobi-to-lay-off-125-employees-in-operations-rejig/articleshow/106706950.cms,320,Unknown,India,0.05,,,,,,,,,,,,,,,,,,,,,,
Audible,TRUE,New York City,Media,100,1/11/2024,https://variety.com/2024/digital/news/audible-layoffs-amazon-1235869320/,14,Acquired,United States,0.05,,,,,,,,,,,,,,,,,,,,,,
7Shifts,FALSE,Saskatoon,Food,68,1/11/2024,https://betakit.com/7shifts-cuts-19-percent-of-staff-in-new-layoffs-to-start-2024/,131,Series C,Canada,0.19,,,,,,,,,,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1Fc41RiVNaveHpTSCHo4x7kwq2Qtaxsrrns2QVfS_854/edit#gid=0
Sisense,TRUE,New York City,Data,60,1/11/2024,https://www.calcalistech.com/ctechnews/article/ryujxxtoa,274,Series F,United States,0.13,,,,,,,,,,,,,,,,,,,,,,
Certinia,TRUE,SF Bay Area,Other,,1/11/2024,https://www.kron4.com/news/bay-area/bay-area-based-software-company-conducts-layoffs/,194,Unknown,United States,,,,,,,,,,,,,,,,,,,,,,,
Chief,TRUE,New York City,HR,,1/11/2024,https://updates.chief.com/2024/01/11/an-organization-update-to-our-team/,140,Series B,United States,,,,,,,,,,,,,,,,,,,,,,,
Dextrous Robotics,TRUE,Memphis,Logistics,,1/11/2024,https://www.therobotreport.com/dextrous-robotics-shuts-down/,,Unknown,United States,1,,,,,,,,,,,,,,,,,,,,,,
Google,TRUE,SF Bay Area,Consumer,1000,1/10/2024,https://www.theverge.com/2024/1/11/24034124/google-layoffs-engineering-assistant-hardware,26,Post-IPO,United States,,,"Engineering, AR hardware, knowledge and information product",Optimization,,,,TRUE,Integrating generative AI into old products,FALSE,1652044,GOOG,NASDAQ,FALSE,TRUE,-0.000904034,0.022854631,0.01444522,0.008698171,0.003967419,-0.001109279,-0.00825928,
Amazon,TRUE,Seattle,Retail,,1/10/2024,https://www.reuters.com/technology/amazon-lay-off-employees-prime-video-studios-divisions-information-2024-01-10/,108,Post-IPO,United States,,"Prime Video, Amazon MGM Studios",,Business realignment,,,FALSE,FALSE,,TRUE,1018724,AMZN,NASDAQ,FALSE,FALSE,0.015590941,0.00463442,0.026576704,0.015224607,0.009432102,-0.003608697,-0.009442449,
