Locations,Count,Country,State,State ID,County,County Fips,lat,lng,AI Exposure - State,AI Exposure - County,Population - City,Density - City
Joinville,2,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Lisbon,2,Portugal,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Missoula,2,United States,Montana,MT,Missoula,30063,46.8751,-114.0214,0.5933803,0.5355934,88780,828.8
Hartford,1,United States,Connecticut,CT,Capitol,9110,41.7661,-72.6834,1.154729,1.530014,974684,2689.4
Ghent,1,Belgium,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Yavne,1,Israel,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Xi'an,1,China,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Nashik,1,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Espoo,1,Finland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Fort Collins,1,United States,Colorado,CO,Larimer,8069,40.5477,-105.0656,0.9809595,0.4840733,335398,1142.2
Salisbury,1,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Memphis,1,United States,Tennessee,TN,Shelby,47157,35.1087,-89.9663,0.5869446,0.3935514,1037998,824.8
Corvallis,1,United States,Oregon,OR,Benton,53005,44.5698,-123.2779,0.7985942,-0.0566528,67187,1603.1
Lodz,1,Poland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Abuja,1,Nigeria,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Omaha,1,United States,Nebraska,NE,Douglas,31055,41.2627,-96.0529,0.8860975,1.371574,821345,1323.9
St. Gallen,1,Switzerland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Leeds,1,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
,1,United States,Not found,#N/A,Not found,Not found,Not found,Not found,#N/A,Not found,Not found,Not found
Jacksonville,1,United States,Florida,FL,Duval,12031,30.3322,-81.6749,0.7379833,0.6444117,1288298,491
Kolkata,1,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Sandnes,1,Norway,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Evansville,1,United States,Indiana,IN,Vanderburgh,18163,37.9881,-87.5341,0.4297744,0.4927276,203661,953.2
Ra'anana,1,Israel,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Ohio,1,United States,Ohio,OH,,,,,0.8504633,Not found,,
Førde,1,Norway,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Alamosa,1,United States,Colorado,CO,Alamosa,8003,37.4752,-105.877,0.9809595,0.1445273,9792,478.7
Chemnitz,1,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Colorado,1,United States,Colorado,CO,Not found,Not found,Not found,Not found,0.9809595,Not found,Not found,Not found
Charlottesville,1,United States,Virginia,VA,,,38.0375,-78.4855,1.254353,,103760,1744.5
Hangzhou,1,China,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Norfolk,1,United States,Virginia,VA,Norfolk,51710,36.8945,-76.259,1.254353,0.6091291,236973,1717.4
Cluj-Napoca,1,Romania,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Riyadh,1,Saudi Arabia,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Wrocław,1,Poland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Manila,1,Philippines,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Little Rock,1,United States,Arkansas,AR,Pulaski,5119,34.7256,-92.3577,0.2430259,1.009192,459409,649.4
Cleveland,1,United States,Ohio,OH,Cuyahoga,39035,41.4764,-81.6805,0.8504633,1.340721,1680247,1839.6
Monterrey,1,Mexico,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
New Hope,1,United States,Minnesota,MN,Hennepin,27053,45.0375,-93.3869,1.151987,1.734048,21620,1650.4
Kyiv,1,Ukraine,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Geneva,1,Switzerland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Chester,1,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
